name,phoneNumber,hasDineIn,hasDriveThru,lat,lon,address1,address2,city,country,postalCode,stateProvince,stateProvinceShort
"1859 CARLING AVE OTTAWA, Ontario K2A 1E4 - Canada",6137283234,TRUE,FALSE,45.376442,-75.757446,1859 CARLING AVE,,OTTAWA,Canada,K2A 1E4,Ontario,ON
"1950 WALKLEY ROAD OTTAWA, Ontario K1H 1W1 - Canada",6137387942,FALSE,TRUE,45.382485,-75.631739,1950 WALKLEY ROAD,,OTTAWA,Canada,K1H 1W1,Ontario,ON
"1611 MERIVALE RD NEPEAN, Ontario K2G 3J4 - Canada",6137232270,TRUE,TRUE,45.351716,-75.733287,1611 MERIVALE RD,,NEPEAN,Canada,K2G 3J4,Ontario,ON
"327, BOUL. MALONEY EST GATINEAU, Quebec J8P 1E2 - Canada",8196638000,TRUE,TRUE,45.484679,-75.642927,"327, BOUL. MALONEY EST","Est, Gatineau, QC J8P 1E2",GATINEAU,Canada,J8P 1E2,Quebec,QC
"2, AV. DU PONT SUD GATINEAU, Quebec J8V 1E5 - Canada",8195619000,TRUE,TRUE,45.488092,-75.74787,"2, AV. DU PONT SUD",,GATINEAU,Canada,J8V 1E5,Quebec,QC
"2495 BANK STREET OTTAWA, Ontario K1V 0Y5 - Canada",6135210884,TRUE,FALSE,45.35438,-75.645757,2495 BANK STREET,,OTTAWA,Canada,K1V 0Y5,Ontario,ON
"372 HUNT CLUB ROAD OTTAWA, Ontario K1V 1C1 - Canada",6137367498,FALSE,TRUE,45.33794,-75.683895,372 HUNT CLUB ROAD,,OTTAWA,Canada,K1V 1C1,Ontario,ON
"740, MONTEE PAIEMENT GATINEAU, Quebec J8R 4A3 - Canada",8196699477,TRUE,TRUE,45.503918,-75.676568,"740, MONTEE PAIEMENT",,GATINEAU,Canada,J8R 4A3,Quebec,QC
"2121 CARLING AVE UNIT 57 OTTAWA, Ontario K2A 1S3 - Canada",6137290093,FALSE,FALSE,45.37273,-75.770252,2121 CARLING AVE UNIT 57,,OTTAWA,Canada,K2A 1S3,Ontario,ON
"2162 PRINCE OF WALES DR NEPEAN, Ontario K2E 7A4 - Canada",6132249974,FALSE,TRUE,45.333425,-75.7018,2162 PRINCE OF WALES DR,,NEPEAN,Canada,K2E 7A4,Ontario,ON
"1150 BLAIR RD GLOUCESTER, Ontario K1B 3K7 - Canada",6137421800,TRUE,TRUE,45.43333,-75.6084,1150 BLAIR RD,,GLOUCESTER,Canada,K1B 3K7,Ontario,ON
"1665 HUNT CLUB ROAD OTTAWA, Ontario K1V 1C1 - Canada",6132489459,FALSE,TRUE,45.360694,-75.630965,1665 HUNT CLUB ROAD,,OTTAWA,Canada,K1V 1C1,Ontario,ON
"2301 NAVAHO DRIVE NEPEAN, Ontario K2G 6Z1 - Canada",6132265342,TRUE,TRUE,45.35314,-75.755607,2301 NAVAHO DRIVE,,NEPEAN,Canada,K2G 6Z1,Ontario,ON
"1857 MERIVALE RD NEPEAN, Ontario K2G 1E3 - Canada",6132269991,FALSE,TRUE,45.335591,-75.723996,1857 MERIVALE RD,,NEPEAN,Canada,K2G 1E3,Ontario,ON
"993 RICHMOND RD OTTAWA, Ontario K2B 6R1 - Canada",6137253275,TRUE,TRUE,45.375916,-75.77702,993 RICHMOND RD,,OTTAWA,Canada,K2B 6R1,Ontario,ON
"1494 INNES ROAD GLOUCESTER, Ontario K1B 3V5 - Canada",6138428024,FALSE,FALSE,45.4148,-75.6046,1494 INNES ROAD,,GLOUCESTER,Canada,K1B 3V5,Ontario,ON
"2016 OGILVIE RD GLOUCESTER, Ontario K1J 7N9 - Canada",6137412124,TRUE,TRUE,45.436198,-75.605414,2016 OGILVIE RD,,GLOUCESTER,Canada,K1J 7N9,Ontario,ON
"1980 BASELINE ROAD OTTAWA, Ontario K2C 0C6 - Canada",6137233200,TRUE,FALSE,45.351447,-75.759601,1980 BASELINE ROAD,,OTTAWA,Canada,K2C 0C6,Ontario,ON
"1910 MERIVALE ROAD NEPEAN, Ontario K2G 1E8 - Canada",6132263269,TRUE,TRUE,45.329667,-75.721225,1910 MERIVALE ROAD,,NEPEAN,Canada,K2G 1E8,Ontario,ON
"1720 INNES ROAD GLOUCESTER, Ontario K1B 3K5 - Canada",6137418216,FALSE,TRUE,45.4165,-75.6017,1720 INNES ROAD,,GLOUCESTER,Canada,K1B 3K5,Ontario,ON
"2790 LANCASTER ROAD OTTAWA, Ontario K1B 4S4 - Canada",6135237491,FALSE,TRUE,45.394311,-75.605301,2790 LANCASTER ROAD,,OTTAWA,Canada,K1B 4S4,Ontario,ON
"2100 HUNT CLUB RD OTTAWA, Ontario K1T 3S4 - Canada",6137367500,TRUE,TRUE,45.364073,-75.619832,2100 HUNT CLUB RD,,OTTAWA,Canada,K1T 3S4,Ontario,ON
"415, BOUL. DE LA VERENDRYE EST GATINEAU, Quebec J8R 1N2 - Canada",8196634000,TRUE,TRUE,45.501328,-75.641554,"415, BOUL. DE LA VERENDRYE EST",,GATINEAU,Canada,J8R 1N2,Quebec,QC
"100 CONSTELLATION CRESCENT OTTAWA, Ontario K1P 1J1 - Canada",6132245225,TRUE,FALSE,45.345649,-75.764445,100 CONSTELLATION CRESCENT,,OTTAWA,Canada,K1P 1J1,Ontario,ON
"3224 HAWTHORNE RD OTTAWA, Ontario K1G 3V9 - Canada",6137331555,FALSE,TRUE,45.381938,-75.602268,3224 HAWTHORNE RD,,OTTAWA,Canada,K1G 3V9,Ontario,ON
"Ottawa International Airport Ottawa, Ontario K1V 9B4 - Canada",1-613-248-2125,FALSE,FALSE,45.322551,-75.667121,Ottawa International Airport,,Ottawa,Canada,K1V 9B4,Ontario,ON
"2951 BANK STREET GLOUCESTER, Ontario K1T 1N9 - Canada",6137398467,FALSE,TRUE,45.34737,-75.623904,2951 BANK STREET,,GLOUCESTER,Canada,K1T 1N9,Ontario,ON
"2075 MONTREAL ROAD GLOUCESTER, Ontario K1J 6M6 - Canada",613-741-9902,TRUE,TRUE,45.447524,-75.594212,2075 MONTREAL ROAD,,GLOUCESTER,Canada,K1J 6M6,Ontario,ON
"2134 Montreal Road Gloucester, Ontario K1J 6M7 - Canada",613-744-1702,TRUE,TRUE,45.4485,-75.5906,2134 Montreal Road,,Gloucester,Canada,K1J 6M7,Ontario,ON
"405, CH. VANIER GATINEAU, Quebec J9J 3H9 - Canada",8196824949,FALSE,TRUE,45.413572,-75.80775,"405, CH. VANIER",,GATINEAU,Canada,J9J 3H9,Quebec,QC
"25, BOUL. DE LUCERNE GATINEAU, Quebec J9H 1L9 - Canada",8196823113,FALSE,TRUE,45.38638,-75.805304,"25, BOUL. DE LUCERNE",,GATINEAU,Canada,J9H 1L9,Quebec,QC
"2545 BASELINE RD OTTAWA, Ontario K2H 7B3 - Canada",6138280714,TRUE,TRUE,45.342152,-75.786083,2545 BASELINE RD,,OTTAWA,Canada,K2H 7B3,Ontario,ON
"2970 CARLING AVENUE OTTAWA, Ontario K2B 7J7 - Canada",6138296197,TRUE,TRUE,45.355548,-75.803319,2970 CARLING AVENUE,,OTTAWA,Canada,K2B 7J7,Ontario,ON
"933, BOUL. MALONEY EST GATINEAU, Quebec J8P 1H8 - Canada",8196690939,FALSE,TRUE,45.491266,-75.593066,"933, BOUL. MALONEY EST",,GATINEAU,Canada,J8P 1H8,Quebec,QC
"250 GREENBANK ROAD NEPEAN, Ontario K2H 8X4 - Canada",6138298691,TRUE,TRUE,45.32523,-75.779353,250 GREENBANK ROAD,,NEPEAN,Canada,K2H 8X4,Ontario,ON
"3330 FALLOWFIELD ROAD NEPEAN, Ontario K2J 4P5 - Canada",6138237770,TRUE,TRUE,45.297635,-75.732697,3330 FALLOWFIELD ROAD,,NEPEAN,Canada,K2J 4P5,Ontario,ON
"2636 INNES ROAD GLOUCESTER, Ontario K1B 4Z5 - Canada",6138241901,TRUE,TRUE,45.431811,-75.563411,2636 INNES ROAD,,GLOUCESTER,Canada,K1B 4Z5,Ontario,ON
"1 RIDEAUCREST DR NEPEAN, Ontario K2G 6A4 - Canada",6138233059,FALSE,TRUE,45.285001,-75.722801,1 RIDEAUCREST DR,,NEPEAN,Canada,K2G 6A4,Ontario,ON
"415, Montée de la Source Cantley, Quebec J8V 3B5 - Canada",(819) 827-0390,TRUE,TRUE,45.539932,-75.770645,"415, Montée de la Source",,Cantley,Canada,J8V 3B5,Quebec,QC
"3045 BASELINE RD NEPEAN, Ontario K2H 8P4 - Canada",6137214794,TRUE,FALSE,45.33494,-75.806748,3045 BASELINE RD,QUEENSWAY CARLETON HOSPITAL,NEPEAN,Canada,K2H 8P4,Ontario,ON
"165, RUE PRINCIPALE GATINEAU, Quebec J9H 3M9 - Canada",8196843484,FALSE,FALSE,45.395544,-75.838443,"165, RUE PRINCIPALE",,GATINEAU,Canada,J9H 3M9,Quebec,QC
"4764 BANK STREET GLOUCESTER, Ontario K1T 3W7 - Canada",6138221124,FALSE,TRUE,45.318763,-75.593203,4764 BANK STREET,,GLOUCESTER,Canada,K1T 3W7,Ontario,ON
"350 Cresthaven, Unit 800 Nepean, Ontario K2G 4P4 - Canada",613-825-0125,FALSE,FALSE,45.273324,-75.708686,"350 Cresthaven, Unit 800",,Nepean,Canada,K2G 4P4,Ontario,ON
"3580 STRANDHERD DR NEPEAN, Ontario K2J 5L4 - Canada",6138254830,TRUE,TRUE,45.274434,-75.738382,3580 STRANDHERD DR,,NEPEAN,Canada,K2J 5L4,Ontario,ON
"1879 ROBERTSON RD NEPEAN, Ontario K2H 5B7 - Canada",6138298538,TRUE,TRUE,45.327332,-75.821497,1879 ROBERTSON RD,,NEPEAN,Canada,K2H 5B7,Ontario,ON
"3691 STRANDHERD DRIVE NEPEAN, Ontario K2J 4G8 - Canada",6138251064,FALSE,TRUE,45.2711,-75.744301,3691 STRANDHERD DRIVE,,NEPEAN,Canada,K2J 4G8,Ontario,ON
"10, RUE DE LA FABRIQUE GATINEAU, Quebec J9J 2X3 - Canada",8196827642,FALSE,TRUE,45.410262,-75.857626,"10, RUE DE LA FABRIQUE",,GATINEAU,Canada,J9J 2X3,Quebec,QC
"1980 JOSEPH BLVD ORLEANS, Ontario K1C 1E4 - Canada",(613) 837-7071,TRUE,FALSE,45.4637,-75.5404,1980 JOSEPH BLVD,,ORLEANS,Canada,K1C 1E4,Ontario,ON
"2145 ROBERTSON RD NEPEAN, Ontario K2H 5Z2 - Canada",6138208569,TRUE,TRUE,45.320789,-75.837074,2145 ROBERTSON RD,Robertson Road,NEPEAN,Canada,K2H 5Z2,Ontario,ON
"2311 ST JOSEPH BLVD ORLEANS, Ontario K1C 1E7 - Canada",6138245125,TRUE,TRUE,45.4693,-75.5312,2311 ST JOSEPH BLVD,,ORLEANS,Canada,K1C 1E7,Ontario,ON
"4295 Strandherd Drive Nepean, Ontario K2J 5P8 - Canada",6138258661,FALSE,TRUE,45.271715,-75.785794,4295 Strandherd Drive,,Nepean,Canada,K2J 5P8,Ontario,ON
"2895 ST JOSEPH BLVD ORLEANS, Ontario K1C 1C7 - Canada",6138342909,TRUE,TRUE,45.4752,-75.5184,2895 ST JOSEPH BLVD,,ORLEANS,Canada,K1C 1C7,Ontario,ON
"3869 INNES ROAD ORLEANS, Ontario K1C 1T1 - Canada",6138244710,FALSE,TRUE,45.4532,-75.5121,3869 INNES ROAD,,ORLEANS,Canada,K1C 1T1,Ontario,ON
"989 RIVER ROAD MANOTICK, Ontario K4M 1B2 - Canada",6136920988,FALSE,TRUE,45.234403,-75.676383,989 RIVER ROAD,,MANOTICK,Canada,K4M 1B2,Ontario,ON
"110 PLACE D'ORLEANS DR ORLEANS, Ontario K1C 2L9 - Canada",6138344469,TRUE,FALSE,45.478,-75.5166,110 PLACE D'ORLEANS DR,PLACE D'ORLEANS SHOPPING CENTRE,ORLEANS,Canada,K1C 2L9,Ontario,ON
"3900 INNES ROAD ORLEANS, Ontario K1W 1K9 - Canada",6138301873,TRUE,FALSE,45.4519,-75.5089,3900 INNES ROAD,,ORLEANS,Canada,K1W 1K9,Ontario,ON
"1797, ROUTE DU CARREFOUR VAL-DES-MONTS, Quebec J8N 7M7 - Canada",8196714488,TRUE,TRUE,45.595141,-75.61682,"1797, ROUTE DU CARREFOUR",,VAL-DES-MONTS,Canada,J8N 7M7,Quebec,QC
"1675 TENTH LINE RD ORLEANS, Ontario K1E 3P6 - Canada",6138346638,TRUE,FALSE,45.4693,-75.4925,1675 TENTH LINE RD,,ORLEANS,Canada,K1E 3P6,Ontario,ON
"4454 INNES ROAD ORLEANS, Ontario K4A 3J7 - Canada",6138249150,TRUE,TRUE,45.4608,-75.4857,4454 INNES ROAD,,ORLEANS,Canada,K4A 3J7,Ontario,ON
"401 HAZELDEAN ROAD KANATA, Ontario K2L 4C6 - Canada",6135926223,FALSE,TRUE,45.304056,-75.877945,401 HAZELDEAN ROAD,,KANATA,Canada,K2L 4C6,Ontario,ON
"2280 Tenth Line Rd Orleans, Ontario K4A 0X4 - Canada",6138370085,TRUE,TRUE,45.452214,-75.483402,2280 Tenth Line Rd,,Orleans,Canada,K4A 0X4,Ontario,ON
"650 EAGLESON RD KANATA, Ontario K2M 1H4 - Canada",6132712696,TRUE,TRUE,45.288154,-75.86851,650 EAGLESON RD,,KANATA,Canada,K2M 1H4,Ontario,ON
"4060 CARLING AVE KANATA, Ontario K2K 1Y1 - Canada",6135999520,TRUE,TRUE,45.337072,-75.90845,4060 CARLING AVE,,KANATA,Canada,K2K 1Y1,Ontario,ON
"1270 Trim Rd ORLEANS, Ontario K4A 3P7 - Canada",613-830-0955,TRUE,TRUE,45.491112,-75.479834,1270 Trim Rd,,ORLEANS,Canada,K4A 3P7,Ontario,ON
"5357 FERNBANK KANATA, Ontario K2S 1B6 - Canada",6138317773,TRUE,FALSE,45.274582,-75.872006,5357 FERNBANK,,KANATA,Canada,K2S 1B6,Ontario,ON
"1223, RUE DE NEUVILLE GATINEAU, Quebec J8M 1W2 - Canada",8199862902,TRUE,TRUE,45.53016,-75.49541,"1223, RUE DE NEUVILLE",,GATINEAU,Canada,J8M 1W2,Quebec,QC
"407 MARCH ROAD KANATA, Ontario K2K 0K1 - Canada",6132701435,TRUE,TRUE,45.338148,-75.911701,407 MARCH ROAD,,KANATA,Canada,K2K 0K1,Ontario,ON
"911 WATTERS ROAD ORLEANS, Ontario K4A 3K5 - Canada",6135902458,TRUE,TRUE,45.4841,-75.4756,911 WATTERS ROAD,,ORLEANS,Canada,K4A 3K5,Ontario,ON
"6 EDGEWATER ROAD KANATA, Ontario K2L 1V8 - Canada",6138310843,TRUE,TRUE,45.295222,-75.893934,6 EDGEWATER ROAD,,KANATA,Canada,K2L 1V8,Ontario,ON
"501 TERRY FOX DRIVE KANATA, Ontario K2T 1E8 - Canada",6132710721,FALSE,TRUE,45.310008,-75.918352,501 TERRY FOX DRIVE,,KANATA,Canada,K2T 1E8,Ontario,ON
"2020 TRIM ROAD ORLEANS, Ontario K4A 0G4 - Canada",6138302712,TRUE,TRUE,45.468823,-75.4539,2020 TRIM ROAD,,ORLEANS,Canada,K4A 0G4,Ontario,ON
"5915 PERTH ST RICHMOND, Ontario K0A 2Z0 - Canada",6138382999,TRUE,TRUE,45.202171,-75.828807,5915 PERTH ST,,RICHMOND,Canada,K0A 2Z0,Ontario,ON
"225 Huntmar DR Stittsville, Ontario K2S 1B9 - Canada",1-343-545-9943,TRUE,TRUE,45.29418,-75.927885,225 Huntmar DR,,Stittsville,Canada,K2S 1B9,Ontario,ON
"1622 Roger Stevens Kars, Ontario K0A 2E0 - Canada",613-489-3392,FALSE,TRUE,45.155544,-75.639818,1622 Roger Stevens,,Kars,Canada,K0A 2E0,Ontario,ON
"6061 HAZELDEAN RD STITTSVILLE, Ontario K2S 1B9 - Canada",613 836 1493,FALSE,TRUE,45.272662,-75.930484,6061 HAZELDEAN RD,,STITTSVILLE,Canada,K2S 1B9,Ontario,ON
"1259 STITTSVILLE MAIN ST Stittsville, Ontario K2S 2E4 - Canada",6138366642,TRUE,TRUE,45.267884,-75.92859,1259 STITTSVILLE MAIN ST,,Stittsville,Canada,K2S 2E4,Ontario,ON
"1150 CARP ROAD STITTSVILLE, Ontario K2S 1B9 - Canada",6138369500,TRUE,TRUE,45.268546,-75.941173,1150 CARP ROAD,,STITTSVILLE,Canada,K2S 1B9,Ontario,ON
"1015, CH. DE MASSON GATINEAU, Quebec J8M 1R4 - Canada",8192816808,TRUE,TRUE,45.558233,-75.419888,"1015, CH. DE MASSON",,GATINEAU,Canada,J8M 1R4,Quebec,QC
"172, CHEMIN DE LA VALLEE DE WAKEFIELD WAKEFIELD, Quebec J0X 3G0 - Canada",8194593535,TRUE,TRUE,45.625028,-75.934613,"172, CHEMIN DE LA VALLEE DE WAKEFIELD",,WAKEFIELD,Canada,J0X 3G0,Quebec,QC
"160, LEPINE BLVD GATINEAU, Quebec J8L 4M4 - Canada",8199863669,TRUE,TRUE,45.575222,-75.403446,"160, LEPINE BLVD",,GATINEAU,Canada,J8L 4M4,Quebec,QC
"88 Broadway Avenue Russell, Ontario K4R 1A1 - Canada",613-445-3434,TRUE,TRUE,45.256107,-75.374558,88 Broadway Avenue,,Russell,Canada,K4R 1A1,Ontario,ON
"301 COLONNADE DRIVE RR#3 HWY 43 & HWY 416 KEMPTVILLE, Ontario K0G 1J0 - Canada",6132580700,TRUE,TRUE,45.03007,-75.6336,301 COLONNADE DRIVE RR#3 HWY 43 & HWY 416,,KEMPTVILLE,Canada,K0G 1J0,Ontario,ON
"2600 HIGHWAY 43 KEMPTVILLE, Ontario K0G 1J0 - Canada",6132580411,TRUE,TRUE,45.018348,-75.658008,2600 HIGHWAY 43,,KEMPTVILLE,Canada,K0G 1J0,Ontario,ON
"2875 RUE LAPORTE ROCKLAND, Ontario K4K 1A3 - Canada",6134469948,TRUE,TRUE,45.5396,-75.3024,2875 RUE LAPORTE,,ROCKLAND,Canada,K4K 1A3,Ontario,ON
"297 EDWARDS STREET ROCKLAND, Ontario K4K 1H6 - Canada",6134460248,TRUE,TRUE,45.5516,-75.2954,297 EDWARDS STREET,,ROCKLAND,Canada,K4K 1H6,Ontario,ON
"771 NOTRE DAME ST EMBRUN, Ontario K0A 1W1 - Canada",6134430931,TRUE,TRUE,45.267981,-75.301139,771 NOTRE DAME ST,,EMBRUN,Canada,K0A 1W1,Ontario,ON
"2140 Bank Street Winchester, Ontario K0C 2K0 - Canada",6137745664,FALSE,TRUE,45.088233,-75.377927,2140 Bank Street,,Winchester,Canada,K0C 2K0,Ontario,ON
"12105 MAIN STREET WINCHESTER, Ontario K0C 2K0 - Canada",6137749977,FALSE,TRUE,45.086168,-75.374519,12105 MAIN STREET,,WINCHESTER,Canada,K0C 2K0,Ontario,ON
"2 Racine St CASSELMAN, Ontario K0A 1M0 - Canada",6137640483,TRUE,TRUE,45.305802,-75.08107,2 Racine St,,CASSELMAN,Canada,K0A 1M0,Ontario,ON
"387, RUE PAPINEAU PAPINEAUVILLE, Quebec J0V 1R0 - Canada",8194275036,TRUE,TRUE,45.616169,-75.029283,"387, RUE PAPINEAU",,PAPINEAUVILLE,Canada,J0V 1R0,Quebec,QC
